repeatPercent,shortSV,middleSV,longSV,rmb,HMDP,readLen,depth,type
0.52,0.83,0.09,0.08,5.219206681,0.212121212,10000,90,cutesv
0.79,0.79,0.1,0.11,1,0,3000,130,pbsv
0.76,0.11,0.05,0.84,1,0,20000,90,pbsv
0.735,0.06,0.86,0.08,1,0,10000,150,pbsv
0.62,0.82,0.08,0.1,30.90234858,0.212121212,25000,90,cutesv
0.51,0.05,0.13,0.82,1,0,2000,10,pbsv
0.55,0.07,0.77,0.16,1.001401963,0.01010101,5000,70,pbsv
0.475,0.82,0.08,0.1,1,0,1000,130,cutesv
0.55,0.07,0.77,0.16,1,0,3000,90,pbsv
0.76,0.11,0.05,0.84,1,0,2000,130,pbsv
0.475,0.82,0.08,0.1,1.755617978,0.02020202,5000,70,pbsv
